typname,enumlabel
aal_level,aal1
aal_level,aal2
aal_level,aal3
account_type,contractor
account_type,design_professional
account_type,project_owner
account_type,agent
account_type,homeowner
account_type,admin
account_type,admin_2
account_type,hired_dev
account_type,moderator
action,INSERT
action,UPDATE
action,DELETE
action,TRUNCATE
action,ERROR
availability_status,available
availability_status,busy
availability_status,unavailable
bid_status,pending
bid_status,under_review
bid_status,awarded
bid_status,not_awarded
bid_status,withdrawn
buckettype,STANDARD
buckettype,ANALYTICS
buckettype,VECTOR
code_challenge_method,s256
code_challenge_method,plain
connection_status,pending
connection_status,accepted
connection_status,declined
connection_status,blocked
content_type,post
content_type,job_listing
content_type,rfq
content_type,contractor_profile
content_type,project_photo
content_type,bid_card
credential_status,active
credential_status,expired
credential_status,pending_verification
credential_status,verified
credential_status,rejected
credential_type,csl
credential_type,hic
credential_type,electrical_license
credential_type,master_plumber
credential_type,journeyman_plumber
credential_type,hvac_license
credential_type,roofing_license
credential_type,architects_registration
credential_type,professional_engineer
credential_type,landscape_architect
credential_type,land_surveyor
credential_type,fire_protection_engineer
credential_type,interior_designer
credential_type,osha_10
credential_type,osha_30
credential_type,lead_rrp
credential_type,liability_insurance
credential_type,workers_comp
credential_type,bonding
credential_type,other
device_type,mobile
device_type,tablet
device_type,desktop
equality_op,eq
equality_op,neq
equality_op,lt
equality_op,lte
equality_op,gt
equality_op,gte
equality_op,in
event_type,like
event_type,comment
event_type,share
event_type,save
event_type,profile_view
event_type,profile_save
event_type,job_save
event_type,bid_save
event_type,bid_submitted
event_type,job_applied
event_type,connect_click
event_type,message_click
event_type,story_view
event_type,link_click
factor_status,unverified
factor_status,verified
factor_type,totp
factor_type,webauthn
factor_type,phone
import_status,pending
import_status,completed
import_status,partial
import_status,failed
job_type,full_time
job_type,part_time
